,kingdom,phylum,class,order,family,genus
0,Bacteria,Cyanobacteria,,Synechococcales,Acaryochloridaceae,Acaryochloris
1,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Acetoanaerobium
2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter
3,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium
4,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium
5,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium
6,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
8,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus
9,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus
10,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Acidiferrobacter
11,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter
12,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus
13,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium
14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium
15,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium
16,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus
17,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium
18,Bacteria,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus
19,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
20,Archaea,Euryarchaeota,,,,Aciduliprofundum
21,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
22,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus
23,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
24,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum
25,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
26,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
27,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora
28,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
29,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum
30,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia
31,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella
32,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita
33,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Aeribacillus
34,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
35,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium
36,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
37,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum
38,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter
39,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium
40,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces
41,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Ahniella
42,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
43,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes
44,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
45,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algibacter
46,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus
47,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus
48,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus
49,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
50,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
51,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola
52,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus
53,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Alkalitalea
54,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Alloactinosynnema
55,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Allochromatium
56,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Allofrancisella
57,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter
58,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
59,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Aminipila
60,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter
61,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium
62,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex
63,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Amphibacillus
64,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
65,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Anabaena
66,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum
67,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus
68,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
69,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter
70,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes
71,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum
72,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma
73,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus
74,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus
75,Bacteria,Firmicutes,Clostridia,Halanaerobiales,,Anoxybacter
76,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter
77,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Aquabacterium
78,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquaspirillum
79,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex
80,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
81,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquitalea
82,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Arachidicoccus
83,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
84,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
85,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium
86,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
87,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Arcticibacterium
88,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter
89,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum
90,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Arsenicicoccus
91,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus
92,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
93,Bacteria,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Arthrospira
94,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Asaia
95,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis
96,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Atlantibacter
97,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium
98,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Aurantimicrobium
99,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aureimonas
100,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureitalea
101,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Auricoccus
102,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Auritidibacter
103,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium
104,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus
105,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Azorhizobium
106,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira
107,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum
108,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter
109,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
110,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bacterioplanes
111,Bacteria,Proteobacteria,Oligoflexia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax
112,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
113,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella
114,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella
115,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Basfia
116,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Basilea
117,Bacteria,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
118,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Beggiatoa
119,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia
120,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Belliella
121,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Bernardetiaceae,Bernardetia
122,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Beutenbergiaceae,Beutenbergia
123,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bibersteinia
124,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Blastochloris
126,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus
127,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas
128,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Blattabacteriaceae,Blattabacterium
129,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
130,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella
131,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia
132,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella
133,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea
134,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium
135,Bacteria,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira
136,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas
137,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
138,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria
139,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Cohaesibacteraceae,Breoghania
140,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Brevefilum
141,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
142,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
143,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
144,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix
145,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
146,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera
147,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
148,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella
149,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas
150,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio
151,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter
152,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor
153,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea
154,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium
155,Bacteria,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum
156,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
157,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Calditerrivibrio
158,Bacteria,Calditrichaeota,Calditrichae,Calditrichales,Calditrichaceae,Caldithrix
159,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga
160,Bacteria,Cyanobacteria,,Nostocales,Rivulariaceae,Calothrix
